"Month","Average high","Daily mean","Average low","Location"
"Jan",31.3,26.8,22.5,"Oslo"
"Feb",32.9,27.7,22.5,"Oslo"
"Mar",39.9,33.8,27.7,"Oslo"
"Apr",50.2,42.6,35.1,"Oslo"
"May",61.7,52.9,44.1,"Oslo"
"Jun",68,59.5,50.9,"Oslo"
"Jul",72.1,63.9,55.4,"Oslo"
"Aug",69.6,61.9,54,"Oslo"
"Sep",60.3,53.4,46.4,"Oslo"
"Oct",48.9,43.9,38.8,"Oslo"
"Nov",39,34.9,30.9,"Oslo"
"Dec",32,27.9,23.5,"Oslo"
"Jan",35.8,29,22.2,"Boston"
"Feb",38.7,31.7,24.7,"Boston"
"Mar",45.4,38.25,31.1,"Boston"
"Apr",55.6,48.1,40.6,"Boston"
"May",66,57.95,49.9,"Boston"
"Jun",75.9,67.7,59.5,"Boston"
"Jul",81.4,73.4,65.4,"Boston"
"Aug",79.6,72.1,64.6,"Boston"
"Sep",72.4,64.9,57.4,"Boston"
"Oct",61.4,53.95,46.5,"Boston"
"Nov",51.5,44.75,38,"Boston"
"Dec",41.2,34.7,28.2,"Boston"
"Jan",49.6,39.1,28.6,"Chapel Hill"
"Feb",53.7,42.3,30.8,"Chapel Hill"
"Mar",61.7,49.6,37.5,"Chapel Hill"
"Apr",71.1,58.6,46.1,"Chapel Hill"
"May",78.3,66.6,54.9,"Chapel Hill"
"Jun",85.7,74.8,64,"Chapel Hill"
"Jul",89,78.4,67.8,"Chapel Hill"
"Aug",87.5,77.1,66.7,"Chapel Hill"
"Sep",81.2,70.4,59.5,"Chapel Hill"
"Oct",71.6,59.3,47.1,"Chapel Hill"
"Nov",62.7,50.5,38.2,"Chapel Hill"
"Dec",52.6,41.9,31.1,"Chapel Hill"
